timestamp_s,ax,ay,az,gx,gy,gz
0.061,-0.002,-0.003,-1.021,-1.008,2.504,0.58
0.077,0.001,-0.005,-1.022,-0.908,2.519,0.412
0.091,-0.002,-0.006,-1.025,-0.901,2.725,0.634
0.106,0.001,-0.006,-1.028,-1.015,2.771,0.366
0.122,-0.002,-0.006,-1.024,-0.931,2.595,0.595
0.136,0.001,-0.005,-1.025,-0.863,2.725,0.542
0.151,0.001,-0.002,-1.027,-0.985,2.634,0.427
0.166,0.002,-0.004,-1.023,-1.084,2.901,0.405
0.181,0.003,0.0,-1.025,-0.847,2.55,0.435
0.197,0.001,-0.007,-1.019,-1.015,2.618,0.55
0.211,0.002,-0.003,-1.022,-1.015,2.634,0.351
0.226,0.002,-0.004,-1.03,-0.939,2.511,0.779
0.241,0.002,-0.004,-1.021,-0.847,2.588,0.603
0.256,-0.002,-0.006,-1.026,-0.924,2.672,0.443
0.271,-0.001,-0.002,-1.021,-1.084,2.611,0.511
0.286,0.001,-0.004,-1.032,-0.962,2.725,0.573
0.301,0.001,-0.008,-1.025,-1.092,2.603,0.45
0.316,-0.001,-0.004,-1.023,-1.0,2.695,0.321
0.331,0.004,-0.005,-1.031,-1.084,2.824,0.214
0.346,-0.001,0.0,-1.022,-0.847,2.824,0.519
0.360,0.0,-0.002,-1.03,-0.908,2.702,0.405
0.376,0.003,-0.004,-1.025,-1.069,2.55,0.359
0.391,0.003,-0.002,-1.024,-0.947,2.71,0.344
0.405,-0.002,-0.005,-1.022,-0.939,2.71,0.458
0.421,0.003,-0.005,-1.022,-0.977,2.55,0.504
0.435,-0.004,-0.007,-1.018,-1.099,2.71,0.511
0.451,0.0,-0.005,-1.027,-1.046,2.718,0.573
0.466,0.004,-0.002,-1.027,-1.0,2.412,0.366
0.480,-0.001,-0.005,-1.023,-1.023,2.405,0.382
0.496,0.0,-0.007,-1.018,-1.008,2.603,0.794
0.511,0.002,-0.003,-1.023,-0.908,2.885,0.489
0.525,0.002,-0.007,-1.024,-1.0,2.679,0.679
0.541,0.002,-0.005,-1.027,-1.122,2.466,0.702
0.555,0.001,-0.003,-1.02,-1.038,2.824,0.458
0.570,0.004,-0.007,-1.025,-1.176,2.794,0.504
0.586,0.004,-0.004,-1.02,-1.0,2.878,0.595
0.600,0.0,-0.006,-1.025,-0.985,2.779,0.58
0.615,0.0,-0.003,-1.027,-0.863,2.504,0.389
0.630,0.002,-0.003,-1.027,-0.962,2.679,0.466
0.645,0.002,-0.006,-1.026,-0.901,2.71,0.214
0.660,0.001,-0.006,-1.022,-0.786,2.74,0.687
0.675,0.0,-0.007,-1.031,-1.183,3.008,0.573
0.690,0.0,-0.005,-1.026,-0.786,2.702,0.573
0.704,0.006,-0.003,-1.033,-0.71,2.672,0.519
0.720,0.001,-0.006,-1.021,-0.832,2.672,0.473
0.735,0.0,-0.007,-1.021,-0.931,2.626,0.382
0.750,0.004,-0.004,-1.022,-0.893,2.55,0.481
0.765,0.003,-0.005,-1.027,-0.977,2.748,0.412
0.780,0.002,-0.004,-1.017,-0.992,2.473,0.221
0.795,-0.0,-0.004,-1.031,-0.924,2.817,0.588
0.810,-0.0,-0.005,-1.016,-1.015,2.817,0.328
0.824,0.003,-0.001,-1.025,-1.038,2.695,0.618
0.840,-0.003,-0.004,-1.035,-0.977,2.725,0.58
0.855,0.001,-0.0,-1.026,-1.015,2.611,0.389
0.869,0.002,-0.006,-1.025,-1.061,2.641,0.504
0.885,-0.001,-0.007,-1.028,-0.756,2.802,0.321
0.899,0.003,-0.003,-1.028,-0.87,2.702,0.557
0.914,0.0,-0.004,-1.025,-1.069,2.718,0.427
0.930,0.001,-0.006,-1.028,-1.221,2.718,0.626
0.944,0.002,-0.005,-1.032,-1.038,2.809,0.656
0.959,0.003,-0.007,-1.023,-0.931,2.672,0.527
0.975,0.002,-0.004,-1.022,-1.046,2.733,0.412
0.989,-0.002,-0.004,-1.027,-1.0,2.664,0.45
1.004,-0.0,-0.007,-1.022,-0.916,2.443,0.542
1.019,0.005,-0.004,-1.026,-0.939,2.588,0.443
1.034,0.003,-0.003,-1.038,-0.992,2.664,0.473
1.050,0.001,-0.004,-1.023,-0.908,2.664,0.443
1.064,0.005,-0.004,-1.024,-1.107,2.809,0.557
1.079,0.005,-0.005,-1.033,-1.069,2.779,0.412
1.095,-0.001,-0.005,-1.021,-0.916,2.878,0.374
1.109,0.004,-0.006,-1.025,-0.901,2.786,0.389
1.124,0.004,-0.007,-1.025,-0.878,2.557,0.557
1.140,-0.0,-0.003,-1.024,-0.924,2.695,0.412
1.154,0.002,0.0,-1.032,-1.107,2.519,0.321
1.169,0.001,-0.002,-1.023,-1.099,2.656,0.397
1.185,0.003,-0.003,-1.022,-0.924,2.443,0.527
1.199,0.004,-0.005,-1.026,-0.824,2.695,0.863
1.214,-0.004,-0.006,-1.022,-1.061,2.649,0.366
1.230,-0.001,-0.007,-1.022,-0.84,2.809,0.565
1.244,0.003,-0.001,-1.03,-0.962,2.679,0.42
1.259,0.003,-0.004,-1.036,-1.168,2.802,0.565
1.275,-0.002,-0.005,-1.023,-0.977,2.977,0.45
1.289,0.0,-0.0,-1.025,-1.038,2.557,0.237
1.305,0.004,-0.005,-1.019,-1.008,2.588,0.221
1.320,0.004,-0.004,-1.025,-1.214,2.893,0.58
1.334,0.003,-0.004,-1.03,-1.015,2.573,0.359
1.350,0.004,-0.002,-1.023,-1.099,2.771,0.443
1.365,-0.0,-0.002,-1.032,-1.038,2.718,0.473
1.379,0.003,-0.002,-1.028,-1.076,2.779,0.55
1.395,0.0,-0.001,-1.022,-1.107,2.718,0.55
1.410,0.003,-0.009,-1.022,-0.977,2.748,0.55
1.424,-0.0,-0.004,-1.025,-1.13,2.687,0.427
1.440,0.003,-0.003,-1.03,-0.908,2.695,0.504
1.454,-0.001,-0.001,-1.023,-0.634,2.855,0.466
1.469,0.001,-0.01,-1.029,-0.962,2.748,0.427
1.485,0.0,-0.003,-1.021,-0.748,3.092,0.664
1.499,-0.0,0.001,-1.026,-1.122,2.588,0.603
1.514,0.002,-0.005,-1.026,-0.977,2.679,0.443
1.530,0.001,-0.004,-1.021,-0.901,2.779,0.435
1.544,0.0,-0.004,-1.031,-0.916,2.695,0.71
1.559,0.003,-0.007,-1.023,-0.725,2.718,0.366
1.575,0.002,-0.002,-1.022,-1.053,2.855,0.481
1.589,-0.001,-0.004,-1.022,-0.992,2.656,0.176
1.605,-0.0,-0.001,-1.024,-1.099,2.588,0.336
1.620,-0.0,-0.005,-1.018,-0.824,2.687,0.603
1.634,0.004,-0.005,-1.026,-1.0,2.725,0.71
1.650,0.001,-0.009,-1.028,-0.893,2.664,0.603
1.665,0.0,-0.007,-1.023,-0.947,2.641,0.412
1.679,-0.001,-0.008,-1.026,-0.87,2.405,0.557
1.695,0.001,-0.001,-1.02,-0.733,2.763,0.702
1.710,0.001,-0.001,-1.027,-0.901,2.863,0.443
1.724,0.001,0.001,-1.025,-0.954,2.702,0.779
1.740,0.0,-0.009,-1.024,-1.046,2.863,0.344
1.755,0.0,-0.011,-1.015,-0.947,2.71,0.748
1.769,0.002,-0.004,-1.021,-0.87,2.855,0.534
1.785,-0.001,-0.004,-1.023,-1.183,2.817,0.366
1.800,-0.002,0.001,-1.021,-1.015,2.924,0.672
1.814,-0.002,-0.002,-1.028,-0.885,2.817,0.527
1.830,0.005,-0.006,-1.025,-1.229,2.573,0.511
